student_id,course_id,enroll_date,last_active_date,lecture_completion_pct,sessions_pct,forum_activity_pct,activity_recency_pct,notifications_engaged_pct,assignment_submission_pct,assignment_avg_score_pct,quiz_avg_score_pct,final_exam_score_pct,overall_score_pct,certificate_eligible,risk_category,dropout_label
1,1,14-02-2024 18:18,15-02-2024 13:06,73.61700657,93.86349882,84.09055498,78.66654817,67.69175222,99.77745386,86.53545115,70.26828859,65.80168213,66.91833374,1,low,0
2,2,27-05-2024 19:51,29-07-2024 04:48,72.30859605,97.81533458,76.71218733,81.93509877,78.29588,74.68604524,68.43250082,72.6159322,74.90976807,74.3363091,1,low,0
3,1,06-01-2024 04:49,06-05-2024 08:13,90.88866328,77.03926246,73.7288628,97.58593074,65.56921887,99.65262982,88.80966881,60.18382611,69.88537004,67.45998406,1,low,0
4,1,29-02-2024 12:51,15-03-2024 16:03,80.19624891,81.97947747,85.69209993,99.79765046,59.1550185,99.31839798,73.22056545,77.29300285,77.16488604,77.19691524,1,low,0
5,1,19-03-2024 04:12,17-07-2024 01:56,91.74300315,74.5724804,57.41320718,71.34733897,73.87407508,93.81454312,81.55784347,76.53356697,65.27356381,68.0885646,1,low,0
6,2,15-01-2024 14:06,18-02-2024 22:06,71.96069022,99.77450506,53.15876649,92.8302377,87.12728392,89.78268886,83.79562865,60.96002193,70.1076105,67.82071335,1,low,0
7,1,05-02-2024 08:26,29-07-2024 10:55,79.45871013,97.81002904,59.5804068,81.15172199,87.1655808,87.33421151,85.29865587,69.20625268,70.75046702,70.36441343,1,low,0
8,1,22-03-2024 05:50,04-05-2024 04:01,86.18473877,86.19871391,81.78313115,81.77374559,63.67621112,95.98304636,88.64374256,84.47579602,65.43457355,70.19487916,1,low,0
9,1,19-06-2024 18:13,29-06-2024 15:18,93.72169495,95.26099883,51.38681067,92.6279492,71.10709865,78.68318565,72.8229887,70.51841406,58.60780109,61.58545434,1,low,0
10,2,07-06-2024 20:46,09-06-2024 05:33,79.56257509,85.62873932,73.3122734,97.55279296,58.46543594,84.03043637,86.46266136,72.54863513,57.33898517,61.14139766,1,low,0
11,1,09-02-2024 02:46,23-05-2024 12:00,88.77674129,88.70757064,89.81750065,98.52785784,89.82524438,88.58169908,68.29217259,82.74825395,55.41678876,62.24965506,1,low,0
12,1,03-02-2024 13:43,11-06-2024 00:45,96.57933245,72.67373296,84.22784375,87.31367758,89.24471631,82.33571428,82.62602266,77.9315469,76.83835661,77.11165418,1,low,0
13,1,11-05-2024 10:23,18-07-2024 09:35,88.47589565,92.65811261,70.85782756,80.71363478,75.98035719,82.82459362,83.54944324,74.55175328,60.91187281,64.32184292,1,low,0
14,1,09-04-2024 16:04,23-04-2024 17:42,76.98878424,73.83140451,52.54563637,93.62647258,82.17656239,79.90854003,81.94308103,79.94511703,60.28766873,65.20203081,1,low,0
15,2,20-04-2024 05:30,17-05-2024 01:41,70.73202345,94.78202891,83.25494058,77.5300415,78.60400645,86.9269545,71.3078684,81.60915666,73.40088501,75.45295292,1,low,0
16,1,20-01-2024 01:25,01-04-2024 21:20,96.10296622,93.46084263,73.95914033,86.92222087,73.72632876,95.51723584,86.82607868,71.42220179,63.00040283,65.10585257,1,low,0
17,2,05-03-2024 16:09,01-06-2024 11:52,70.63808233,91.26234093,54.59731988,80.75735385,52.13391988,76.04585134,69.22146158,71.87770912,67.65111731,68.70776526,1,low,0
